ages,price,reviews,pieces,description,id,difficulty,theme,Licensed
14-Jul,14.99,11,184,Speed into race action with the awesome Scuderia Ferrari SF16-H!,75879,Easy,Speed Champions,Non-Licensed
14-Jul,14.99,19,181,Build and drive the ultimate hyper car!,75878,Easy,Speed Champions,Non-Licensed
14-Jul,14.99,28,185,Break records in this American dream car!,75871,Easy,Speed Champions,Non-Licensed
14-Jul,14.99,9,166,Refuel and race for victory!,75872,Average,Speed Champions,Non-Licensed
14-Sep,169.99,4,1413,Jump to lightspeed in the Millennium Falcon!,75212,Average,Star Wars™,Licensed
14-Sep,69.99,7,519,Evade the mighty Imperial TIE Fighter!,75211,Average,Star Wars™,Licensed
12-Aug,39.99,2,464,Go on the hunt with Moloch!,75210,Easy,Star Wars™,Licensed
12-Jul,29.99,5,229,Train with Luke at Yoda’s Dagobah hideout!,75208,Easy,Star Wars™,Licensed
12-Jul,29.99,4,345,Escape to safety with Han Solo’s Landspeeder!,75209,Easy,Star Wars™,Licensed
14-Aug,29.99,NA,104,Own a true Sith Lord with Darth Maul!,75537,NA,Star Wars™,Licensed
14-Jul,24.99,2,101,Stomp into action with the Range Trooper!,75536,Easy,Star Wars™,Licensed
14-Aug,24.99,NA,101,Battle the bad guys with Han Solo!,75535,NA,Star Wars™,Licensed
12-Jun,14.99,3,102,Take on the Separatists with the Jedi and Clone Troopers!,75206,Very Easy,Star Wars™,Licensed
12-Jun,14.99,4,99,Patrol the Empire and enforce the rule of law!,75207,Very Easy,Star Wars™,Licensed
10+,9.99,1,149,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,Very Easy,BrickHeadz,Non-Licensed
10+,9.99,1,141,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,Very Easy,BrickHeadz,Non-Licensed
14+,199.99,201,1996,Lift off for bounty-hunting adventures in the Slave I!,75060,Challenging,Star Wars™,Licensed
14-Sep,159.99,31,1416,Command the fleet with the awesome First Order Star Destroyer!,75190,Average,Star Wars™,Licensed
14-Sep,149.99,33,1376,Stride into battle with the First Order Heavy Assault Walker!,75189,Challenging,Star Wars™,Licensed
14-Sep,109.99,23,780,Set out on heroic raids with the Resistance Bomber!,75188,Average,Star Wars™,Licensed
16-Oct,99.99,79,1106,Play with and display your own brick-built BB-8!,75187,Average,Star Wars™,Licensed
14-Sep,89.99,39,863,Transport Director Krennic in his armor-plated shuttle!,75156,Average,Star Wars™,Licensed
14-Aug,89.99,5,775,Go head to head with the Empire aboard The Arrowhead!,75186,Challenging,Star Wars™,Licensed
14-Sep,84.99,4,746,Join the battle at the Resistance base!,75202,Easy,Star Wars™,Licensed
14-Aug,79.99,22,630,Speed into action with Kylo Ren’s TIE Fighter!,75179,Average,Star Wars™,Licensed
14-Aug,79.99,71,717,Go on daring missions with Poe's X-Wing Fighter™!,75102,Average,Star Wars™,Licensed
14-Aug,79.99,56,659,Battle the Empire with the amazing Rebel U-Wing Fighter!,75155,Average,Star Wars™,Licensed
14-Aug,79.99,3,836,Escape from Bala-Tik and the dreaded Rathtars!,75180,Average,Star Wars™,Licensed
14-Aug,69.99,6,557,Search out the Freemakers with Tracker I!,75185,Challenging,Star Wars™,Licensed
14-Aug,59.99,51,691,Launch daring raids with the iconic Y-Wing Starfighter!,75172,Average,Star Wars™,Licensed
14-Oct,54.99,11,452,Set out on speeder bike missions with the Scout Trooper!,75532,Challenging,Star Wars™,Licensed
14-Aug,49.99,12,457,Escape Jakku in the powerful Quadjumper!,75178,Easy,Star Wars™,Licensed
14-Sep,49.99,9,554,Stomp into battle with the First Order Heavy Scout Walker!,75177,Challenging,Star Wars™,Licensed
14-Aug,39.99,14,376,Stop by at Tatooine’s Mos Eisley Cantina!,75205,Easy,Star Wars™,Licensed
14-Aug,39.99,37,370,Seize control of the First Order AT-ST!,75201,Easy,Star Wars™,Licensed
14-Aug,34.99,5,179,Lead the charge with Chewbacca!,75530,Average,Star Wars™,Licensed
12-Jul,29.99,25,241,Learn the Jedi way at the Ahch-To Island mountainside hut!,75200,Easy,Star Wars™,Licensed
12-Jul,29.99,13,278,Speed into action with the Sandspeeder!,75204,Easy,Star Wars™,Licensed
12-Jul,29.99,27,277,Avoid the deadly Sarlacc pit!,75174,Easy,Star Wars™,Licensed
12-Jul,29.99,19,157,Chase down the Jedi with General Grievous’ Combat Speeder!,75199,Easy,Star Wars™,Licensed
14-Aug,29.99,14,294,Jettison to safety in the Resistance Transport Pod!,75176,Easy,Star Wars™,Licensed
12-Jul,24.99,38,282,Bring Darth Vader to life at the medical bay!,75183,Easy,Star Wars™,Licensed
12-Aug,24.99,37,262,Journey to the stars aboard Yoda’s starship!,75168,Easy,Star Wars™,Licensed
14-Aug,24.99,27,305,Pack a punch with the Republic Fighter Tank!,75182,Easy,Star Wars™,Licensed
12-Jul,24.99,32,208,Battle it out at the generator core!,75169,Easy,Star Wars™,Licensed
14-Aug,24.99,7,92,Protect the First Order with the Elite Praetorian Guard!,75529,Easy,Star Wars™,Licensed
14-Aug,24.99,12,86,Go on the hunt for Resistance forces with the fierce Kylo Ren™!,75117,Easy,Star Wars™,Licensed
14-Jul,24.99,3,100,Join the battle with the 2-in-1 Stormtrooper Commander!,75531,Very Easy,Star Wars™,Licensed
14-Aug,24.99,3,85,Feel the Force with Rey!,75528,Easy,Star Wars™,Licensed
12-Jun,19.99,3,188,Intercept Kylo Ren in a deep space microfighter duel!,75196,Easy,Star Wars™,Licensed
12-Jun,19.99,4,216,Pit First Order against Resistance in a micro planetside battle!,75195,Easy,Star Wars™,Licensed
14-Aug,19.99,1,94,Fly into action with the Elite TIE Fighter Pilot!,75526,Easy,Star Wars™,Licensed
12-Jun,14.99,14,97,Keep the Jawas busy on desert planet Tatooine!,75198,Easy,Star Wars™,Licensed
12-Jun,14.99,15,108,Advance on the Resistance with the First Order Specialists Battle Pack!,75197,Very Easy,Star Wars™,Licensed
12-Jun,14.99,40,125,Go bounty hunting with the super-fast speeder bike!,75167,Very Easy,Star Wars™,Licensed
12-Jun,14.99,25,117,Send in reinforcements with the First Order Transport Speeder!,75166,Very Easy,Star Wars™,Licensed
12-Jun,9.99,9,92,Play at micro lightspeed with the Millennium Falcon!,75193,Easy,Star Wars™,Licensed
12-Jun,9.99,3,91,Take on the Resistance in a micro-scale TIE Fighter!,75194,Easy,Star Wars™,Licensed
10+,9.99,2,91,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485,Easy,BrickHeadz,Non-Licensed
12-Jun,9.99,6,109,Enter miniature battle with the amazing U-Wing Microfighter!,75160,Easy,Star Wars™,Licensed
